Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Argentina,ARG,Access to electricity (% of population),EG.ELC.ACCS.ZS,..,95.5110634674458,96.10791015625,96.384895324707,96.6386489868164,96.8673934936523,97.0800247192383,97.2881317138672,97.5032958984375,97.7371063232422,98.82,99.278694152832,99.4978561401367,99.4765548706055,100,99.8271179199219,99.9591217041016,100,100,..
Argentina,ARG,Adequacy of social insurance programs (% of total welfare of beneficiary households),per_si_allsi.adq_pop_tot,..,..,..,..,..,..,42.1950496263914,..,..,..,39.6634007635173,32.5162579141245,35.7393513105137,42.8277408552611,..,..,..,..,..,..
Argentina,ARG,Adequacy of social safety net programs (% of total welfare of beneficiary households),per_sa_allsa.adq_pop_tot,..,..,..,..,..,..,12.6710903057301,..,..,..,10.9621758748799,11.3343497372497,10.4701654975154,11.3135759745517,..,..,..,..,..,..
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6606.31539239171,6159.20974612503,2047.20765727481,2748.63875996824,3248.68483504815,3850.90028844481,4933.89833502369,6149.46611813116,7636.40164313593,6939.09337799373,8806.20415998788,10954.8187178616,11152.2400601998,11154.9399965834,10453.3537408492,11843.9470848519,10892.4942331946,12344.0377978229,9631.7109854384,..
Argentina,ARG,"Air transport, passengers carried",IS.AIR.PSGR,8915627,5808770,5662905,6036360,6795484,6938436,6611915,7036784,6147290,5694547,9025035.31187357,8590839.84977289,9375669.73963746,11951276.8223926,12121912.818,14245183,15076354,16749271,18081937,..
Argentina,ARG,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,..,..,591,..,..,..,..,591,..,..,..,..,591,..,591,..,..,..,..,..
Argentina,ARG,"Children out of school, primary",SE.PRM.UNER,18285,15555,14023,14410,27193,18656,11212,5382,7668,8719,25533,24042,24382,17457,4205,2420,19510,18743,..,..
Argentina,ARG,"Community health workers (per 1,000 people)",SH.MED.CMHW.P3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,..,..,99.9,..,..,..,..,..,..,99.2,..,100,..,..,..,..,100,..,..,..
Argentina,ARG,Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,705.199340820313,671.529479980469,222.621994018555,260.769989013672,309.740142822266,390.058441162109,447.361175537109,551.75,694.682434082031,742.843017578125,891.137756347656,1068.61059570313,1168.06579589844,1206.93286132813,1089.5,1305.39501953125,959.291564941406,1324.603515625,..,..
Argentina,ARG,Domestic private health expenditure per capita (current US$),SH.XPD.PVTD.PC.CD,319.015747070313,301.833831787109,96.7882919311523,117.200782775879,129.815032958984,184.88053894043,207.754486083984,241.996475219727,279.59521484375,273.165649414063,311.969421386719,338.624572753906,313.66162109375,303.820159912109,248.00373840332,287.427856445313,244.824645996094,358.585235595703,..,..
Argentina,ARG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,2088.80813962555,2120.57994317578,2014.47655733814,2180.32681692764,2293.30936850936,2408.43252466624,2374.09747110948,2455.656576487,2772.84322218275,2730.12323163118,2877.65265331343,2929.07502855568,3000.60352326565,2967.37655805218,3074.70207056563,..,..,..,..,..
